Num of Loans (In House + Not In House),Last Loan Date,Normalized Call Number,Permanent Call Number,Publisher,Publication Date,Author,Title,ISBN,MMS Id,Network Id,Location Name,Material Type,Barcode,Description
2,2010-05-20 03:59:00,"0la""227.4 c64 2009",LA227.4 .C64 2009,PublicAffairs,©2009.,"Cole, Jonathan R.","The great American university : its rise to preeminence, its indispensable national role, and why it must be protected /",1586484087; 9781586484088; 1610390970; 9781610390972,991001874649702920,991037772469702901,Main Collection,Book,30150017160190,
4,2016-11-10 02:59:00,"0la""227.4 c66 2012",LA227.4 .C66 2012,The Johns Hopkins University Press,[2012],"Conrad, Clifton.",Cultivating inquiry-driven learners : a college education for the 21st century /,1421405989; 9781421405988; 1421405997; 9781421405995; 1421406365; 9781421406367,991003198129702920,991004689739702901,Main Collection,Book,30150017388163,
4,2009-04-23 03:59:00,"0la""227.4 c87 1998",LA227.4 .C87 1998,University Press of America,©1998.,,Current issues in higher education : research and reforms /,9780761812180; 0761812180; 9780761812197; 0761812199,991003099379702920,991054068159702901,Main Collection,Book,30150015614743,
6,2012-12-03 02:59:00,"0la""227.4 d45 2005",LA227.4 .D45 2005,Palgrave Macmillan,©2005.,,Declining by degrees : higher education at risk /,9781403969217; 1403969213; 9781403973160; 1403973164,991000276909702920,991018628529702901,Main Collection,Book,30150016648856,
6,2015-03-16 03:59:00,"0la""227.4 d46 2011",LA227.4 .D46 2011,MIT Press,©2011.,"DeMillo, Richard A.",Abelard to Apple : the fate of American colleges and universities /,9780262015806; 0262015803; 0262518627; 9780262518628,991002601279702920,991066713559702901,Main Collection,Book,30150017291458,
4,2013-05-06 03:59:00,"0la""227.4 d65 2008",LA227.4 .D65 2008,Stylus,2008.,,Doing the public good : Latina/o scholars engage civic participation /,1579222625; 9781579222628; 1579222633; 9781579222635,991001186499702920,991035649899702901,Main Collection,Book,30150016953207,
1,2005-11-13 02:59:00,"0la""227.4 d676 2004",LA227.4 .D676 2004,Harvard Education Press,©2004.,,Double the numbers : increasing postsecondary credentials for underrepresented youth /,9781891792236; 1891792237; 9781891792229; 1891792229,991004996539702920,991014901669702901,Main Collection,Book,30150016561109,
1,1999-01-04 02:59:00,"0la""227.4 e47 1995",LA227.4 .E47 1995,Indiana University Press,©1995.,"Ehrlich, Thomas, 1934-",The courage to inquire : ideals and realities in higher education /,9780253329134; 0253329132,991004373869702920,991040851589702901,Main Collection,Book,30150014888280,
0,,"0la""227.4 g49 2012",LA227.4 .G49 2012,Johns Hopkins University Press,2012.,,Getting to graduation : the completion agenda in higher education /,1421406225; 9781421406220; 1421406934; 9781421406930,991002971019702920,991005666629702901,Main Collection,Book,30150017371920,
3,2013-10-29 03:59:00,"0la""227.4 g57 2004",LA227.4 .G57 2004,Palgrave Macmillan,2004.,"Giroux, Henry A.","Take back higher education : race, youth, and the crisis of democracy in the post-Civil Rights Era /",1403965238; 9781403964236; 1403964238; 1403972907; 9781403972903,991004933509702920,991011892589702901,Main Collection,Book,30150016533496,
2,2006-06-13 03:59:00,"0la""227.4 h53 2000",LA227.4 .H53 2000,Bergin & Garvey,2000.,,Higher education in transition : the challenges of the new millennium /,9780897896375; 0897896378,991003409149702920,991057731429702901,Main Collection,Book,30150015783233,
2,2017-03-22 03:59:00,"0la""227.4 h54 2013",LA227.4 .H54 2013,Nova Publishers,2013.,,Higher education : economic benefits and an examination of access and completion gaps /,1626183333; 9781626183339,991003602819702920,991014545409702901,Main Collection,Book,30150017423499,
4,2016-11-10 02:59:00,"0la""227.4 i5 2001",LA227.4 .I5 2001,Johns Hopkins University Press,2001.,,In defense of American higher education /,9780801866548; 0801866545; 9780801866555; 0801866553,991004062419702920,991063515759702901,Main Collection,Book,30150016166461,
4,2016-07-27 03:59:00,"0la""227.4 k36 2010",LA227.4 .K36 2010,Chelsea Green Pub,©2010.,"Kamenetz, Anya, 1980-","DIY U : edupunks, edupreneurs, and the coming transformation of higher education /",1603582347; 9781603582346,991002604529702920,991052955609702901,Main Collection,Book,30150017302677,
6,2014-06-04 03:59:00,"0la""227.4 k435 2011",LA227.4 .K435 2011,Palgrave Macmillan,2011.,"Keeling, Richard P.",We're losing our minds : rethinking American higher education /,0230339824; 9780230339828; 0230339832; 9780230339835,991002653989702920,991000843259702901,Main Collection,Book,30150017329258,
2,2011-04-28 03:59:00,"0la""227.4 k455 2008",LA227.4 .K455 2008,Johns Hopkins University Press,2008.,"Keller, George, 1928-2007.",Higher education and the new society /,0801890314; 9780801890314,991001537599702920,991039696199702901,Main Collection,Book,30150017055689,
2,2002-10-30 02:59:00,"0la""227.4 k468 1999",LA227.4 .K468 1999,Yale University Press,©1999.,"Kernan, Alvin B.",In Plato's cave /,9780300075892; 0300075898; 0300082673; 9780300082678,991003714639702920,991054126009702901,Main Collection,Book,30150015939595,
3,2011-11-07 02:59:00,"0la""227.4 l49 2006",LA227.4 .L49 2006,PublicAffairs,©2006.,"Lewis, Harry R.",Excellence without a soul : how a great university forgot education /,9781586483937; 1586483935,991000626899702920,991025573329702901,Main Collection,Book,30150016769298,
4,2013-12-06 02:59:00,"0la""227.4 m68 2000",LA227.4 .M68 2000,Jossey-Bass,©2000.,,Moving beyond the gap between research and practice in higher education /,9780787954345; 0787954349,991003664449702920,991062682059702901,Main Collection,Book,30150015889170,
0,,"0la""227.4 n47 1999",LA227.4 .N47 1999,Transaction Publishers,©2000.,"Neusner, Jacob, 1932-2016.",Reaffirming higher education /,9781560004257; 1560004258,991003534039702920,991057025249702901,Main Collection,Book,30150015867069,
3,2005-02-17 02:59:00,"0la""227.4 r49 2001",LA227.4 .R49 2001,Cornell University Press,2001.,"Rhodes, Frank Harold Trevor.",The creation of the future : the role of the American university /,9780801439377; 080143937X,991004041329702920,991001754069702901,Main Collection,Book,30150016154624,
2,2012-02-22 02:59:00,"0la""227.4 t39 2010",LA227.4 .T39 2010,Alfred A Knopf,2010.,"Taylor, Mark C., 1945- author.",Crisis on campus : a bold plan for reforming our colleges and universities /,0307593290; 9780307593290,991002604749702920,991054935749702901,Main Collection,Book,30150017302602,
2,2012-02-13 02:59:00,"0la""227.4 t545 2007",LA227.4 .T545 2007,Johns Hopkins University Press,2007.,"Tierney, William G.","New players, different game : understanding the rise of for-profit colleges and universities /",0801886570; 9780801886577,991001091599702920,991031265249702901,Main Collection,Book,30150016922129,
0,,"0la""227.4 t56 2003",LA227.4 .T56 2003,State University of New York Press,©2003.,"Tighe, Thomas J.",Who's in charge of America's research universities : a blueprint for reform /,9780791457429; 0791457427; 9780791457412; 0791457419,991004700839702920,991006873249702901,Main Collection,Book,30150016401868,
2,2014-06-23 03:59:00,"0la""227.4 t865 2010",LA227.4 .T865 2010,Peter Lang,©2010.,"Turner, Philip M., 1948-",Next generation course redesign /,1433106817; 9781433106811,991002602999702920,991053745249702901,Main Collection,Book,30150017302891,
3,2014-03-13 03:59:00,"0la""227.4 w46 2012",LA227.4 .W46 2012,Teachers College Press,©2012.,,What is college for? : the public purpose of higher education /,0807752754; 9780807752753; 0807752762; 9780807752760,991002815059702920,991001432599702901,Main Collection,Book,30150017355881,
3,2016-11-10 02:59:00,"0la""227.4 z45 2009",LA227.4 .Z45 2009,Rutgers University Press,©2009.,"Zemsky, Robert, 1940-",Making reform work : the case for transforming American higher education /,0813545919; 9780813545912,991001812509702920,991048148009702901,Main Collection,Book,30150017269439,
4,2014-03-03 02:59:00,"0la""227.4 z46 2005",LA227.4 .Z46 2005,Rutgers University Press,©2005.,"Zemsky, Robert, 1940-",Remaking the American university : market-smart and mission-centered /,9780813536248; 0813536243,991000325249702920,991017645749702901,Main Collection,Book,30150016674753,
8,2007-06-03 03:59:00,"0la""228 o37 1998",LA228 .O37 1998,University of Chicago Press,©1998.,"O'Brien, Dennis, 1931-",All the essential half-truths about higher education /,9780226616544; 0226616541; 9780226616575; 0226616576,991002667649702920,991049332359702901,Main Collection,Book,30150015379529,
2,2006-07-07 03:59:00,"0la""228 o38 2003",LA228 .O38 2003,Wesleyan University Press,©2003.,"Ohmann, Richard M. 1931- (Richard Malin),","Politics of knowledge : the commercialization of the university, the professions, and print culture /",9780819565891; 081956589X; 9780819565907; 0819565903,991004692219702920,991010035639702901,Main Collection,Book,30150016400795,
