MMS Id,Location Name,Normalized Call Number,Permanent Call Number,Summary Holding,ISSN,Title,Num of Items (In Repository),Num of Loans (In House + Not In House),Author
991003690739702920,Main Collection,"0qk""110 n6",QK110 .N6,"BOUND : v.1-3, 6-7, 9-11, 14-19, 21-25, 28-29, 32-34. Ser. 2 : v.1-6.",0078-1312; 00781312,North American flora.,61,21,
991003705639702920,Main Collection,"0qk""143 m3",QK143 .M3,BOUND : v.1-58; 1916-2011.,1943-6297; 19436297; 0024-9637; 00249637,Madroño : a West American journal of botany.,38,69,
991003720549702920,Main Collection,"0qk""149 a4",QK149 .A4,BOUND : v.1-29; 1948-2011.,2327-2929; 23272929; 0065-6275; 00656275,Aliso.,19,45,
991003663929702920,Main Collection,"0qk""149 f6",QK149 .F6,"BOUND : v.1-13, no.1. v.14, no. 4- ; 2017-",,The four seasons.,9,13,
991003679499702920,Main Collection,"0qk""149 f73",QK149 .F73,"BOUND : v.1-39, no.2/3; 1973-2011.; INCOMPLETE: v. 37; 2009.; INDEX : v.9-10; 1981-1983.",2572-6870; 25726870; 0092-1793; 00921793,Fremontia: a journal of the California Native Plant Society.,19,34,
991003626409702920,Main Collection,"0qk""268 p8",QK268 .P8,BOUND : v.2-3.,,Flora of Suriname.,3,1,
991003747309702920,Main Collection,"0qk""321 a3613",QK321 .A3613,BOUND : v. 1-6; 8; 11-12; 18,0568-5427; 05685427,Flora of the U.S.S.R.,10,2,
991003705939702920,Main Collection,"0qk""479 h6",QK479 .H6,"BOUND : v.1-71, no.4; 1919-Oct. 1990.; CEASED PUBLICATION",2474-3283; 24743283; 0004-2625; 00042625,Journal of the Arnold Arboretum.,64,18,Arnold Arboretum.
991003690669702920,Main Collection,"0qk""504 n6",QK504 .N6,BOUND : v. 2-4; 1960-1962. v.12; 1966. v.17-53; 1969-1991; INCOMPLETE : v.12; 1966,0029-5035; 00295035,Nova Hedwigia.,36,6,
991003725559702920,Main Collection,"0qk""564 i5",QK564 .I5,"BOUND : v.2, 4-5, 10.",0074-7874; 00747874,Proceedings of the International Seaweed Symposium.,5,8,International Seaweed Symposium.
991003631019702920,Main Collection,"0qk""564 p76",QK564 .P76,BOUND : v.1.,0167-8574; 01678574,Progress in phycological research.,1,4,
991003714129702920,Main Collection,"0qk""600 c6",QK600 .C6,"BOUND : v.8, 110-154.",0374-7034; 03747034; 0027-5522; 00275522,Mycological papers.,46,0,International Mycological Institute.
991003747539702920,Main Collection,"0qk""600 s9",QK600 .S9,BOUND : v.1-42; 1903-1944,,Annales mycologici.,42,0,
991003688889702920,Main Collection,"0qk""861 r38",QK861 .R38,"BOUND : v.1-5; 8-18, 20-40.",2211-9094; 22119094; 0079-9920; 00799920,Recent advances in phytochemistry.,1,0,
991003726079702920,Main Collection,"0qk""867 a27",QK867 .A27,BOUND : v.1-3.,0743-8931; 07438931,Advances in plant nutrition.,3,21,
991003701409702920,Main Collection,"0qk""911 b7 a35",QK911.B7 A35,"BOUND : v.1-11, 14-15, 17-19, 22.",0068-1954; 00681954,A Symposium of the British Ecological Society.,1,0,
991003725849702920,Main Collection,0ql 1 c15,QL1 .C15,"BOUND : v.1-9, 11-22, 24, 26-67.; INCOMPLETE : v.1, 3-4, 6-9, 11-13, 16-18, 20-21, 24, 26, 30-31, 36-40, 53, 55, 57, 63.",1559-3215; 15593215; 0068-6506; 00686506,University of California publications in zoology.,62,13,
991003725019702920,Main Collection - Oversized,0ql 1 c54,QL1 .C54,BOUND : v.1-3.,0430-3776; 04303776,Fieldiana.,1,0,
991003707089702920,Main Collection,0ql 1 f4,QL1 .F4,"BOUND : v.1-49, 51-54, 56-73. n.s., v.1-28.",0015-0754; 00150754,Fieldiana:,85,7,
991003699789702920,Main Collection,0ql 1 h3,QL1 .H3,"BOUND (INCOMPLETE) : v.39, 41, 45-46, 50, 52--54, 59-63, 69, 73-74, 78-80, 82, 86-87, 89-91, 93-96, 98-99, 101, 103-104, 106-107, 110-111, 115, 127-129.",1938-2987; 19382987; 0027-4100; 00274100,Bulletin of the Museum of Comparative Zoology.,52,3,
991003673559702920,Main Collection,0ql 1 i6,QL1 .I6,BOUND : 14th-17th; 1953-1972.,,Proceedings.,18,1,International Congress of Zoology.
991003725099702920,Main Collection,0ql 1 i62,QL1 .I62,BOUND : v.1-4.,0074-7734; 00747734,International review of general and experimental zoology.,4,2,
991003664699702920,Main Collection,0ql 1 l78,QL1 .L78,BOUND : no.1-3; 5-9; 11.,,Zoology publication.,1,0,Los Angeles County Museum of Natural History.
991003770459702920,Main Collection,0ql 1 s54,QL1 .S54,"BOUND : v.361-370, 456-465, 629.",1943-6696; 19436696; 0081-0282; 00810282,Smithsonian contributions to zoology.,4,3,
991004998709702920,Main Collection,0ql 1 w54 index 0,QL1 .W54 Index,BOUND : no.128/135-136/143; 1995/97-1997/99.,,Wildlife monographs.,2,0,
991003712429702920,Main Collection,0ql 1 z4,QL1 .Z4,BOUND : v.54-58; 1969-1973.; CEASED PUBLICATION.,0044-507X; 0044507X,Zoologica; scientific contributions of the New York Zoological Society.,4,0,
991003723349702920,Main Collection,0ql 1 z733,QL1 .Z733,"BOUND : v.1-6, 8-52, 62-63.",0084-5612; 00845612,Symposia of the Zoological Society of London.,1,0,
991003782239702920,Main Collection,0ql!84.2 e52,QL84.2 .E52,"BOUND : v.20-25, no.5; 1995-2000.",1943-5339; 19435339; 1091-7314; 10917314,Endangered species bulletin /,2,0,
991003744559702920,Main Collection,0ql!84.2 e52,QL84.2 .E52,BOUND : v.2-19; 1977-1994.,0145-9236; 01459236,Endangered species technical bulletin /,5,0,
991003743769702920,Main Collection,"0ql""121 b56",QL121 .B56,BOUND : v.1-3.,0309-2518; 03092518,Biochemical and biophysical perspectives in marine biology.,3,5,
991003743809702920,Main Collection,"0ql""368 f6 f67",QL368.F6 F67,BOUND : v.1-3.,0140-0010; 01400010,Foraminifera.,3,2,
991003636279702920,Main Collection,"0ql""391 c4 o83",QL391.C4 O83,"BOUND : v.1, 5.",,Essentials of cestodology.,1,0,
